record_id,record_type,catalog_scope,brand,parent_company,battery_platform,platform_aliases,nominal_voltage,battery_interface_or_format,alliance,fit_type,product_name,model_sku,product_family,gadget_category,gadget_subcategory,battery_included,adapter_required,adapter_brand_model,safety_note,market_us,market_uk,market_de,market_fr,market_it,market_es,market_notes,official_platform_url,official_product_url,compatibility_evidence_url,secondary_source_url,source_type,evidence_note,verification_status,verification_level,exact_sku_status,discontinued_or_legacy,fallback_retailer_url,amazon_us_direct_url,amazon_us_asin,amazon_us_link_status,amazon_us_search_url,amazon_us_last_checked_utc,amazon_uk_direct_url,amazon_uk_asin,amazon_uk_link_status,amazon_uk_search_url,amazon_uk_last_checked_utc,amazon_de_direct_url,amazon_de_asin,amazon_de_link_status,amazon_de_search_url,amazon_de_last_checked_utc,amazon_fr_direct_url,amazon_fr_asin,amazon_fr_link_status,amazon_fr_search_url,amazon_fr_last_checked_utc,amazon_it_direct_url,amazon_it_asin,amazon_it_link_status,amazon_it_search_url,amazon_it_last_checked_utc,amazon_es_direct_url,amazon_es_asin,amazon_es_link_status,amazon_es_search_url,amazon_es_last_checked_utc,fallback_retailer_name,source_dataset,last_checked_utc,notes,legacy_data_json
ROBYB-D21F52EF3F475E,PLATFORM,PLATFORM_ONLY,AEG,,12V,,12V,,,,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.aeg-powertools.eu/en-eu/platforms/12v,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-5E72F11C5F2B23,PLATFORM,PLATFORM_ONLY,AEG,,58V,,58V,,,,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.aeg-powertools.eu/,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,LEGACY_OR_REGION_LIMITED,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-B33850EA5CA724,PLATFORM,PLATFORM_ONLY,AEG,,PRO18V,,18V,,,,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.aeg-powertools.eu/en-eu/platforms/pro18v,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-6E0B1EF13E7B3A,PLATFORM,PLATFORM_ONLY,AL-KO,,18V Bosch Home & Garden Compatible,,18V,,POWER FOR ALL Alliance,,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.al-ko.com/shop/uk/garden-tools/battery-tools/18-v-bosch-home-garden-compatible/,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-90390C2E0FA900,PLATFORM,PLATFORM_ONLY,AL-KO,,EasyFlex 20V,,20V,,,,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.al-ko.com/shop/uk/garden-tools/battery-tools/easyflex/,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-FF37E5C0E7DBA5,PLATFORM,PLATFORM_ONLY,AL-KO,,EnergyFlex 40V,,40V,,,,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.al-ko.com/shop/uk/garden-tools/battery-tools/energyflex/,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-044F29AFCED4F4,PLATFORM,PLATFORM_ONLY,ATLAS,,80V,,80V max,,,,,,,,,,,,,Y,N,N,N,N,N,,https://www.harborfreight.com/lawn-garden/outdoor-power-tools/80v-cordless-tools.html,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-5196AFFF49D383,PLATFORM,PLATFORM_ONLY,Bad Boy Mowers,,80V,,80V,,,,,,,,,,,,,Y,N,N,N,N,N,,https://badboycountry.com/,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,Outdoor power equipment ecosystem.,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,Outdoor power equipment ecosystem.,
ROBYB-E1A00B615072E4,PLATFORM,PLATFORM_ONLY,Bahco,,18V,,18V,,,,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.bahco.com/int_en/products/power-tools.html,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,,VERIFIED_OFFICIAL_PLATFORM,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,,
ROBYB-264896C5EA0501,PLATFORM,PLATFORM_ONLY,BAIER,,CAS 18V,,18V,,Cordless Alliance System (CAS),,,,,,,,,,,N,Y,Y,Y,Y,Y,,https://www.cordless-alliance-system.com/en/brands/,,,,OFFICIAL_MANUFACTURER_OR_ALLIANCE,"Confirm the exact CAS-enabled product, because not every cordless product from a partner brand uses CAS.",OFFICIAL_ALLIANCE_PARTNER,OFFICIAL_SOURCE_OR_EXPLICIT_RESEARCH_CANDIDATE,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,,NOT_APPLICABLE_PLATFORM_RECORD,,,,EXPANDED_PLATFORM_REGISTRY_2026-09-08,2026-09-08T07:28:47+00:00,"Confirm the exact CAS-enabled product, because not every cordless product from a partner brand uses CAS.",
